latitude,longitude,name,provider,full_address,data_center_count,aggregated_power,aggregated_area,yearbuilt,sources,avg_name_similarity,avg_provider_similarity,state,facility_type_orig,log_power,log_area,ftype_Building,ftype_Campus,ftype_Individual,aggregated_power_imputed
42.4670293,-83.2349622,123Net · DC2,DTE Energy,"24275 Northwestern Highway, Southfield, MI, USA",1,1.0,8000.0,1959.0,datacenterhawk; datacenters.com,1.0,1.0,MI,Individual,0.6931471805599453,8.987321812850125,False,False,True,1.0
42.469869,-83.2598806,365 Data Centers · DT1,365 Data Centers,"24660 Lahser Road, Southfield, MI, USA",2,0.0,12000.0,1986.0,datacenterhawk; datacenters.com,1.0,1.0,MI,Individual,0.0,9.392745258631441,False,False,True,0.0
42.4716411,-83.2380596,123Net · DC1,123Net,"24700 Northwestern Highway, Southfield, MI, USA",1,,140000.0,1967.0,datacenterhawk,1.0,1.0,MI,Individual,2.506652355194092,11.849404844423074,False,False,True,11.26380639741998
42.474094,-92.4586355,Cologix · DSM2,Cologix,"1205 Technology Parkway, Cedar Falls, IA, USA",1,,23136.0,2004.0,datacenterhawk,1.0,1.0,IA,Individual,0.7010584473609924,10.049188346707682,False,False,True,1.0158852871219461
42.512366,-71.2368363,Digital Realty · BOS13,Digital Realty,"55 Middlesex Turnpike, Bedford, MA, USA",2,0.0,106000.0,1971.0,datacenterhawk; datacenters.com,1.0,1.0,MA,Individual,0.0,11.571203807011969,False,False,True,0.0
42.5285095,-71.24947689999999,EdgeConneX · BOS01,EdgeConneX,"22 Linell Circle, Billerica, MA, USA",1,,54700.0,1981.0,datacenterhawk,1.0,1.0,MA,Individual,1.0929896831512451,10.909637269778615,False,False,True,1.9831795152377296
42.5335149,-83.1774782,Liberty Center One · 4815 Delemere Avenue,DTE Energy,"4815 Delemere Avenue, Royal Oak, MI, USA",2,0.0,21000.0,1970.0,datacenterhawk; datacenters.com,1.0,1.0,MI,Individual,0.0,9.952325334619427,False,False,True,0.0
42.5506344,-71.2152533,Equinix · BO2,Equinix,"41 Alexander Road, Billerica, MA, USA",1,9.25,108336.0,2001.0,datacenterhawk,1.0,1.0,MA,Individual,2.327277705584417,11.593002018224842,False,False,True,9.25
42.5522013,-71.47594500000001,Twin Palms Capital Group · The Point,Twin Palms Capital Group,"812 Constitution Ave, Littleton, MA, USA",1,,23500.0,2020.0,datacenterhawk,1.0,1.0,MA,Individual,1.1792100667953491,10.064798252418377,False,False,True,2.251804479734897
42.6303512,-71.3046809,Markley Group · 2 Prince Avenue,Markley Group,"2 Prince Avenue, Lowell, MA, USA",1,,352914.0,1950.0,datacenterhawk,1.0,1.0,MA,Individual,-0.011638130992650986,12.773982513718963,False,False,True,-0.011570669906752706
