latitude,longitude,name,provider,full_address,facility_type,data_center_count,aggregated_power,aggregated_area,yearbuilt,sources,avg_name_similarity,avg_provider_similarity
27.7928205,-97.4515722,Lumen: Corpus Christi 1 Data Center,Lumen,"4901 Westway Drive, Corpus Christi, TX, USA",Individual,1,,4800.0,,datacenters.com,1.0,1.0
27.793620950689643,-97.45228549805856,Lumen Corpus Christi 1,Lumen,"4901 Westway Drive, Corpus Christi, TX, 78408, USA",Individual,1,,4800.0,,datacentermap,1.0,1.0
27.9444574,-82.4578222,CenterServ: Tampa Data Center,CenterServ,"100 Ashley Drive South, Tampa, FL, USA",Individual,1,,,,datacenters.com,1.0,1.0
27.94553095,-82.35110076559798,Centersquare: TPA1-A Tampa Data Center,Centersquare,"9310 Florida Palm Drive, Tampa, FL, 33619, USA",Individual,1,9.0,40.0,,datacenters.com,1.0,1.0
27.94601,-82.35113109999999,Centersquare · TPA1-AFeatured,Tampa Electric Co,"9310 Florida Palm Drive, Tampa, FL, USA",Individual,1,9.0,96000.0,1999.0,datacenterhawk; datacenters.com,1.0,1.0
27.9477083,-82.4595212,"Wow! Business · 400 North Tampa Street, Suite 1000",Wow! Business,"400 North Tampa Street, Suite 1000, Tampa, FL, USA",Individual,2,0.0,473000.0,1973.0,datacenterhawk; datacenters.com,1.0,1.0
27.9489863,-82.45702539999999,"Ace Host · 412 E Madison St, Ste 1010",Ace Host,"412 E Madison St, Ste 1010, Tampa, FL, USA",Individual,1,2.0,10000.0,1966.0,datacenterhawk; datacenters.com,1.0,1.0
27.9495078,-82.4583957,365 Data Centers: TA1 Tampa Data Center,365 Data Centers,"655 North Franklin Street, Tampa, FL, USA",Individual,1,1.0,30399.0,,datacenters.com,1.0,1.0
27.9499419,-82.4584011,365 Data Centers · TA1,365 Data Centers,"655 N Franklin Street, Suite 1000, Tampa, FL, USA",Individual,1,0.91,212000.0,1957.0,datacenterhawk,1.0,1.0
27.9835334,-80.55716129999999,ColoBarn: Florida Data Center,,"3225 Jordan Boulevard, Malabar, FL, USA",Individual,1,,60000.0,,datacenters.com,1.0,1.0
28.0047931,-82.35819529999999,Hivelocity · TPA 2,TECO Energy,"5908 Hampton Oaks Parkway, Suite D, Tampa, FL, USA",Individual,2,0.0,120000.0,1998.0,datacenterhawk; datacenters.com,1.0,1.0
28.018789,-82.5234778,Lumen: Tampa 1 Data Center,Lumen,"7909 Woodland Center Boulevard, Tampa, FL, USA",Individual,1,9.0,53168.0,,datacenters.com,1.0,1.0
28.01986,-82.52475629999999,Hivelocity: TPA1 Tampa Data Center,Hivelocity,"8010 Woodland Center Boulevard suite 500, Tampa, FL, USA",Individual,1,,,2012.0,datacenters.com,1.0,1.0
28.0198921,-82.5245997,Hivelocity · TPA 1,Hivelocity,"8010 Woodland Center Boulevard, Suite 700, Tampa, FL, USA",Building,2,0.0,89758.0,1990.0,datacenterhawk,1.0,1.0
28.0236939,-81.7292339,DSM: Winter Haven Data Center,DSM,"200 Avenue B Northwest, Winter Haven, FL, USA",Individual,1,,33000.0,,datacenters.com,1.0,1.0
28.0293084,-82.04539919999999,DSM: Lakeland Data Center,DSM,"6810 New Tampa Hwy, Lakeland, FL, USA",Individual,1,,25000.0,,datacenters.com,1.0,1.0
28.0369549,-82.540938,Flexential · Tampa - West,Flexential,"9417 Corporate Lake Drive, Tampa, FL, USA",Building,2,0.0,31600.0,2000.0,datacenterhawk,1.0,1.0
28.0372991,-82.5399781,Flexential: Tampa - West Data Center,Flexential,"9417 Corporate Lake Dr, Tampa, FL, 33634, USA",Individual,1,1.0,31600.0,,datacenters.com,1.0,1.0
28.0738377,-82.3683618993294,Flexential: Tampa - North Data Center,Flexential,"8350 Parkedge Dr, Tampa, FL, 33637, USA",Individual,1,3.0,60166.0,,datacenters.com,1.0,1.0
28.0738516,-82.3683068,Flexential · Tampa - North,Flexential,"8350 Parkedge Drive, Tampa, FL, USA",Individual,2,0.0,60166.0,2015.0,datacenterhawk; datacenters.com,1.0,1.0
28.0794567,-81.9754699,Cologix · LAK1,Lakeland Electric,"2850 Interstate Drive, Lakeland, FL, USA",Individual,1,1.528,105000.0,2013.0,datacenterhawk; datacenters.com,1.0,1.0
28.2603016,-80.6947575,SD Data Center · 8635 Holiday Springs Road,SD Data Center,"8635 Holiday Springs Road, Melbourne, FL, USA",Individual,1,1.0,24665.0,2013.0,datacenterhawk; datacenters.com,1.0,1.0
28.4271462,-81.41983929999999,CoreSite · OR1,American Tower,"9701 S John Young Parkway, Orlando, FL, USA",Individual,1,,130000.0,1984.0,datacenterhawk; datacenters.com,1.0,1.0
28.463893,-81.4180446,Lumen: Orlando 3 Data Center,Lumen,"7003 Presidents Drive, Orlando, FL, USA",Individual,1,,7000.0,,datacenters.com,1.0,1.0
28.5346898,-81.3803867,365 Data Centers: OL1 Orlando Data Center,,"100 West Lucerne Circle, Orlando, FL, USA",Individual,1,,,,datacenters.com,1.0,1.0
28.5378743,-81.3687276,CenterServ: Orlando Data Center,CenterServ,"618 East South Street, Orlando, FL, USA",Individual,1,,,,datacenters.com,1.0,1.0
28.6146104,-81.3856287,HostDime: Orlando Data Center (Coming 2024),HostDime,"980 Wymore Road, Eatonville, FL, USA",Individual,1,,100000.0,2024.0,datacenters.com,1.0,1.0
28.6151072,-81.38576359999999,HostDime · 1000 Wymore Road,HostDime,"1000 Wymore Road, Eatonville, FL, USA",Individual,1,,88000.0,2018.0,datacenterhawk,1.0,1.0
28.6158854,-81.3892679,Lumen: Orlando 1 Data Center,Lumen,"380 South Lake Destiny Drive, Orlando, FL, USA",Individual,1,,35000.0,,datacenters.com,1.0,1.0
28.617402,-81.3937728,HostDime · DimeNOC,Duke Energy,"440 West Kennedy Boulevard, Suite 1, Orlando, FL, USA",Building,2,0.0,116742.0,1985.0,datacenterhawk,1.0,1.0
28.617504,-81.39344290000001,Atlantic.net: Orlando Data Center,Atlantic.net,"440 West Kennedy Boulevard, Orlando, FL, USA",Ambiguous/Flagged,2,,,,datacenters.com,0.7741935483870968,0.3
28.6181794,-81.39346689999999,"Atlantic.Net · 440 West Kennedy Boulevard, Suite 3",Eaton,"440 West Kennedy Boulevard, Suite 3, Orlando, FL, USA",Individual,1,,116742.0,1985.0,datacenterhawk,1.0,1.0
28.70250688094194,-100.50190529328688,MDC Eagle Pass - EGP1,MDC Data Centers,"464 Bliss St, Eagle Pass, TX, 78852, USA",Individual,1,0.5,5208.0,2023.0,datacentermap; datacenters.com,1.0,1.0
28.7028548,-100.5048737,MDC Data Centers · EGP1,MDC Data Centers,"500 Bliss Street, Eagle Pass, TX, USA",Individual,1,0.5,5208.0,,datacenterhawk,1.0,1.0
29.189684,-98.8625269,Rowan Digital Infrastructure · Cinco,AEP,"CR 6712Natalia, Natalia, TX, USA",Individual,1,,,,datacenterhawk,1.0,1.0
29.28626235109411,-98.39343694098464,Amazon AWS SAT - 12807 Donop,Amazon AWS,"12807 Donop Rd, San Antonio, TX, 78223, USA",Individual,1,,,,datacentermap,1.0,1.0
29.2924776,-98.3887455,Amazon AWS: 12807 Donop Rd,Amazon AWS,"12807 Donop Rd, Elmendorf, TX, 78223, USA",Individual,1,,,,datacenters.com,1.0,1.0
29.3558665,-98.8704282,Tract · Highway 90,Tract,"Highway 90, Castroville, TX, USA",Individual,1,,,,datacenterhawk,1.0,1.0
29.4126574,-98.784419,CyrusOne SAT9 - San Antonio,CyrusOne Data Centers,"14815 Omicron Dr, San Antonio, TX, 78245, USA",Individual,1,,,,datacentermap,1.0,1.0
