unique_key,source,Name,Provider,StreetAddress,City,ZipCode,State,Country,Whitespace,Area,YearBuilt,Power,Scale,Certifications,URL,Power_Standardized,Area_Standardized
123net-detroit-dc1,datacenters.com,Not Available,123NET,24700 Northwestern Hwy,Southfield,48075,MI,USA,136000 sqft total space,80000 sqft colocation space,,7.0 MW total power,,"HIPAA, PCI DSS, SOC 1, SOC 1 Type 1, SOC 1 Type 2, SOC 2, SOC 2 Type 1, SOC 2 Type 2, SOC 3, SSAE 16 Type 1, SSAE 16 Type 2, SSAE 18",https://www.datacenters.com/123net-detroit-dc1,7.0,136000.0
segra-charlotte-two,datacenters.com,Segra: Charlotte Two Data Center,Segra,3101 International Airport Drive,Charlotte,,NC,USA,28000 sqft total space,14032 sqft colocation space,,2.0 MW total power,,"HIPAA, PCI DSS, SOC 2 Type 2, SSAE 16 Type 1, SSAE 16 Type 2",https://www.datacenters.com/segra-charlotte-two,2.0,28000.0
mod-mission-critical-ch1-ch1-chicago-pop,datacenters.com,Not Available,MOD Mission Critical,350 East Cermak Road,Chicago,,IL,USA,143630 sqft total space,50992 sqft colocation space,,6.0 MW total power,,"FISMA, HIPAA, ISO 22301, ISO 27001, ISO 50001, NIST 800-53, PCI DSS, SOC 1 Type 2, SOC 2 Type 2",https://www.datacenters.com/mod-mission-critical-ch1-ch1-chicago-pop,6.0,143630.0
firstlight-bangor,datacenters.com,FirstLight: Bangor Data Center,FirstLight,60 Summer St,Bangor,,ME,USA,8000 sqft total space,8000 sqft,,125 kW,,"HIPAA, PCI DSS, SOC 2 Type 2",https://www.datacenters.com/firstlight-bangor,0.125,8000.0
flexential-charlotte-north,datacenters.com,Flexential: Charlotte - North Data Center,Flexential,10105 David Taylor Drive,Charlotte,,NC,USA,62589 sqft total space,10000 sqft colocation space,,3.0 MW total power,,"HIPAA, ISO 27001, PCI DSS, SOC 1 Type 2, SOC 2 Type 2, SOC 3, SSAE 16 Type 1, SSAE 18",https://www.datacenters.com/flexential-charlotte-north,3.0,62589.0
edgeconnex-svc01-santa-clara,datacenters.com,EdgeConnex: SVC01 Santa Clara Data Center,EdgeConnex,1700 Richard Avenue,Santa Clara,,CA,USA,19800 sqft total space,19800 sqft,,1.0 MW total power,,"HIPAA, ISO 27001, PCI DSS, SOC 2 Type 2",https://www.datacenters.com/edgeconnex-svc01-santa-clara,1.0,19800.0
datacate-inc-smf1-sacramento-rancho-cordova,datacenters.com,"Datacate, Inc: SMF1 Sacramento Rancho Cordova Data Center","Datacate, Inc",2999 Gold Canal Drive,Rancho Cordova,,CA,USA,18000 sqft total space,12000 sqft colocation space,,1.0 MW total power,,"HIPAA, LEED, SOC 2, SOC 2 Type 1, SOC 2 Type 2, SOC 3",https://www.datacenters.com/datacate-inc-smf1-sacramento-rancho-cordova,1.0,18000.0
lunavi-at1-atlanta,datacenters.com,Lunavi: AT1 Atlanta Data Center,Lunavi,180 Peachtree Street Northeast,Atlanta,,GA,USA,,2500 sqft,,5.0 MW,,"HIPAA, ISO 27001, LEED, PCI DSS, SOC 1, SOC 2",https://www.datacenters.com/lunavi-at1-atlanta,5.0,2500.0
edgeconnex-ric01-richmond,datacenters.com,EdgeConnex: RIC01 Richmond Data Center,EdgeConnex,1450 East Parham Road suite c,Richmond,23228,Virginia,USA,16279 sqft total space,16279 sqft,,1.0 MW total power,,"HIPAA, ISO 27001, PCI DSS, SOC 2 Type 2",https://www.datacenters.com/edgeconnex-ric01-richmond,1.0,16279.0
evocative-los-angeles-lax2,datacenters.com,Evocative: Los Angeles Data Center (LAX2),,600 West 7th Street,Los Angeles,,CA,USA,490000 sqft total space,30000 sqft colocation space,,30.0 MW total power,,"HIPAA, ISAE-3402, PCI DSS, SOC 2 Type 2, SOC 3, SSAE 16 Type 1, SSAE 18",https://www.datacenters.com/evocative-los-angeles-lax2,30.0,490000.0
rack59-oklahoma,datacenters.com,RACK59 Data Center: Oklahoma Data Center,,7725 West Reno Avenue,Oklahoma City,,Oklahoma,USA,250000 sqft total space,15000 sqft colocation space,,40.0 MW total power,,SOC 2 Type 2,https://www.datacenters.com/rack59-oklahoma,40.0,250000.0
edgeconnex-mia02-miami,datacenters.com,Not Available,EdgeConnex,475 Northeast 185th Street,Miami,,FL,USA,65518 sqft total space,65518 sqft,,6.0 MW,Enterprise,"HIPAA, ISO 27001, PCI DSS, SOC 2 Type 2",https://www.datacenters.com/edgeconnex-mia02-miami,6.0,65518.0
dc-mining-davenport-ia,datacenters.com,"DC Mining: Davenport, IA","DC Mining, LLC",,Davenport,,IA,USA,12600 sqft total space,12600 sqft,,6.0 MW,,,https://www.datacenters.com/dc-mining-davenport-ia,6.0,12600.0
iron-mountain-chi-1-chicago,datacenters.com,Iron Mountain Data Centers: CHI-1 - Chicago Data Center,Iron Mountain,1680 Touhy Avenue,Des Plaines,,IL,USA,315000 sqft,315000 sqft,2025,36.0 MW,Hyperscale,,https://www.datacenters.com/iron-mountain-chi-1-chicago,36.0,315000.0
novva-arizona,datacenters.com,NOVVA: Arizona Data Center,,Ellsworth Road,Mesa,,AZ,USA,1300000 sqft total space,1300000 sqft colocation space,,300.0 MW total power,,"HIPAA, PCI DSS, SOC 1 Type 2, SOC 2 Type 2",https://www.datacenters.com/novva-arizona,300.0,1300000.0
ntt-global-hi1-hillsboro,datacenters.com,NTT Global Data Centers: HI1 Hillsboro Data Center,NTT Global Data Centers,4050 NE Evergreen Rd,Hillsboro,97124,OR,USA,138000 sqft,138000 sqft,,36.0 MW,,"HIPAA, ISO 27001, ISO 50001, NIST 800-53, PCI DSS, SOC 1 Type 2, SOC 2 Type 2",https://www.datacenters.com/ntt-global-hi1-hillsboro,36.0,138000.0
colohouse-miami,datacenters.com,Colohouse: Miami Data Center,Colohouse,36 Northeast 2nd Street,Miami,,Florida,USA,24000 sqft total space,24000 sqft colocation space,,10.0 MW total power,,,https://www.datacenters.com/colohouse-miami,10.0,24000.0
colohouse-new-york,datacenters.com,Colohouse: New York Data Center,Colohouse,1 Ramland Rd,Orangeburg,,New York,USA,230000 sqft total space,230000 sqft colocation space,,5.0 MW total power,,SOC 2,https://www.datacenters.com/colohouse-new-york,5.0,230000.0
centersquare-dfw1-c-fort-worth,datacenters.com,Centersquare: DFW1-C Fort Worth Data Center,Centersquare,14902 FAA Blvd,Fort Worth,76155,TX,USA,34 sqft total space,34 sqft colocation space,,4.0 MW total power,"Hyperscale, Enterprise, Cloud","ISO 27001, PCI DSS, SOC 1, SOC 2",https://www.datacenters.com/centersquare-dfw1-c-fort-worth,4.0,34.0
data-canopy-dallas-carrollton,datacenters.com,Data Canopy: Dallas (Carrollton),Data Canopy,1649 West Frankford Road,Carrollton,,TX,USA,670000 sqft,400000 sqft,,60.0 MW,,"FISMA, HIPAA, HITECH, ISO 27001, PCI DSS, SOC 1 Type 2, SSAE 18",https://www.datacenters.com/data-canopy-dallas-carrollton,60.0,670000.0
flexential-salt-lake-city-millcreek,datacenters.com,Flexential: Salt Lake City - Millcreek Data Center,Flexential,3949 South 200 East suite b1,Salt Lake City,84115,UT,USA,36000 sqft total space,14713 sqft colocation space,,1.0 MW total power,,"NIST 800-53, PCI DSS, SOC 1 Type 2, SOC 2 Type 2, SOC 3, SSAE 18",https://www.datacenters.com/flexential-salt-lake-city-millcreek,1.0,36000.0
madeit-columbus,datacenters.com,MadeIt: Columbus Data Center,,,Columbus,,OH,USA,86000 sqft total space,,,50.0 MW total power,,"PCI DSS, SSAE 16 Type 1",https://www.datacenters.com/madeit-columbus,50.0,86000.0
mod-mission-critical-po2-flexential-hillsboro-2-pop,datacenters.com,MOD Mission Critical: PO2 - Flexential Hillsboro 2 Data Center PoP,MOD Mission Critical,5737 Northeast Huffman Street,Hillsboro,,OR,USA,242683 sqft total space,50157 sqft colocation space,,18.0 MW total power,,"HITRUST CSF, NIST 800-53, PCI DSS, SOC 1 Type 2, SOC 2 Type 2, SOC 3, SSAE 18",https://www.datacenters.com/mod-mission-critical-po2-flexential-hillsboro-2-pop,18.0,242683.0
lumen-dallas-2,datacenters.com,Lumen: Dallas 2 Data Center,Lumen,1950 Stemmons Freeway,Dallas,,TX,USA,28220 sqft total space,6253 sqft colocation space,,12.0 MW total power,,"HIPAA, ISO 27001, PCI DSS, SOC 1, SOC 2, SSAE 18",https://www.datacenters.com/lumen-dallas-2,12.0,28220.0
edgeconnex-sli01-new-orleans,datacenters.com,EdgeConnex: SLI01 New Orleans Data Center,EdgeConnex,2070 Gause Blvd E,Slidell,70461,LA,USA,26950 sqft,26950 sqft,,1.0 MW,,"HIPAA, PCI DSS, SOC 2 Type 2",https://www.datacenters.com/edgeconnex-sli01-new-orleans,1.0,26950.0
edgeconnex-mia01-miami,datacenters.com,EdgeConnex: MIA01 Miami Data Center,EdgeConnex,2132 Northwest 114th Avenue,Miami,33172,FL,USA,27000 sqft total space,27000 sqft,,1.0 MW total power,,"HIPAA, ISO 27001, PCI DSS, SOC 2 Type 2",https://www.datacenters.com/edgeconnex-mia01-miami,1.0,27000.0
