unique_key,source,Name,Provider,StreetAddress,City,ZipCode,State,Country,Whitespace,Area,YearBuilt,Power,Scale,Certifications,URL,Power_Standardized,Area_Standardized
California_Santa Clara_https://www.datacentermap.com/usa/california/santa-clara/cyrusone-scv1/,datacentermap,CyrusOne SCV1 - Santa Clara,CyrusOne Data Centers,2600 De La Cruz Blvd.,Santa Clara,95050,California,USA,"375,800 sq.f.","703,450 sq.f.",,67.5 MW,,,https://www.datacentermap.com/usa/california/santa-clara/cyrusone-scv1/,67.5,703450.0
California_Santa Clara_https://www.datacentermap.com/usa/california/santa-clara/equinix-santa-clara/,datacentermap,Equinix SV2,,Equinix 1350 Duane Ave,Santa Clara,95054,California,USA,"74,974 sq.f.",,,"9 x 2,000 kW diesel generators",,"DSS, PCI Certified, ISO27001 Certified, LEED Certified, HIPAA, ISO22301 Certified, ISO50001 Certified, FISMA Certified, SOC 1 Type II Certified, SOC 2 Type II Certified, NIST 800-53 Certified",https://www.datacentermap.com/usa/california/santa-clara/equinix-santa-clara/,18.0,74974.0
California_Santa Clara_https://www.datacentermap.com/usa/california/santa-clara/prime-santa-clara-3/,datacentermap,Prime Santa Clara - 2215 Martin,Prime Data Centers,2215 Martin Ave,Santa Clara,95050,California,USA,"32,738 sq.f.","79,356 sq.f.",,9 MW,,,https://www.datacentermap.com/usa/california/santa-clara/prime-santa-clara-3/,9.0,79356.0
California_Santa Clara_https://www.datacentermap.com/usa/california/santa-clara/databank-sfo1/,datacentermap,DataBank SFO1 - Silicon Valley,DataBank,5101 Lafayette Street,Santa Clara,95054,California,USA,"13,770 sq.f.","13,770 sq.f.",,3 MW,,DSS PCI Compliant ISO27001 Certified HIPAA SSAE 18 Audited,https://www.datacentermap.com/usa/california/santa-clara/databank-sfo1/,3.0,13770.0
California_Santa Clara_https://www.datacentermap.com/usa/california/santa-clara/edgecore-silicon-valley-sv01/,datacentermap,EdgeCore Silicon Valley SV01,,EdgeCore 2201 Laurelwood Rd,Santa Clara,95054,California,USA,"255,198 sq.f.",,,36 MW,,LEED Certified,https://www.datacentermap.com/usa/california/santa-clara/edgecore-silicon-valley-sv01/,36.0,255198.0
California_Santa Clara_https://www.datacentermap.com/usa/california/santa-clara/stack-infrastructure-svy02a/,datacentermap,STACK Infrastructure SVY02A,STACK INFRASTRUCTURE,1200 Memorex Dr,Santa Clara,95050,California,USA,"192,000 sq.f.","192,000 sq.f.",,36 MW,Hyperscale,DSS PCI Compliant ISO27001 Certified LEED HIPAA SSAE 18 Audited HITECH,https://www.datacentermap.com/usa/california/santa-clara/stack-infrastructure-svy02a/,36.0,192000.0
California_Santa Clara_https://www.datacentermap.com/usa/california/santa-clara/cyxtera-sfo1a/,datacentermap,Centersquare - Silicon Valley SFO1-A,Cyxtera,2401 Walsh Ave.,Santa Clara,95051,California,USA,"145,084 sq.f.","105,690 sq.f.",,4.8 MW,,"Tier 3, DSS, PCI Certified, ISO27001 Certified, ISAE3402 Type 2 Certified, SOC 1 Type II Certified, SOC 2 Type II Certified, SSAE 18 Audited, NIST 800-53 Certified",https://www.datacentermap.com/usa/california/santa-clara/cyxtera-sfo1a/,4.8,145084.0
California_Santa Clara_https://www.datacentermap.com/usa/california/santa-clara/cyxtera-sfo2a/,datacentermap,Centersquare - Silicon Valley SFO2-A,Cyxtera,4700 Old Ironsides Dr,Santa Clara,95054,California,USA,"71,034 sq.f.","90,000 sq.f.",,6 MW,,"Tier 3, DSS, PCI Certified, ISO27001 Certified, ISAE3402 Type 2 Certified, SOC 1 Type II Certified, SOC 2 Type II Certified, SSAE 18 Audited, NIST 800-53 Certified",https://www.datacentermap.com/usa/california/santa-clara/cyxtera-sfo2a/,6.0,90000.0
California_Santa Clara_https://www.datacentermap.com/usa/california/santa-clara/cyxtera-sfo2b/,datacentermap,Centersquare - Silicon Valley SFO2-B,Cyxtera,4650 Old Ironsides Dr,Santa Clara,95054,California,USA,"88,607 sq.f.","128,000 sq.f.",,7.6 MW,,"Tier 3, DSS, PCI Certified, ISO27001 Certified, ISAE3402 Type 2 Certified, SOC 1 Type II Certified, SOC 2 Type II Certified, SSAE 18 Audited, NIST 800-53 Certified",https://www.datacentermap.com/usa/california/santa-clara/cyxtera-sfo2b/,7.6,128000.0
California_Santa Clara_https://www.datacentermap.com/usa/california/santa-clara/cyxtera-sfo1b/,datacentermap,Centersquare - Silicon Valley SFO1-B,Cyxtera,2403 Walsh Ave.,Santa Clara,95051,California,USA,"64,687 sq.f.","88,581 sq.f.",,4.8 MW,,"Tier 3, DSS, PCI Certified, ISO27001 Certified, ISAE3402 Type 2 Certified, SOC 1 Type II Certified, SOC 2 Type II Certified, SSAE 18 Audited, NIST 800-53 Certified",https://www.datacentermap.com/usa/california/santa-clara/cyxtera-sfo1b/,4.8,88581.0
