unique_key,source,Name,Provider,StreetAddress,City,ZipCode,State,Country,Whitespace,Area,YearBuilt,Power,Scale,Certifications,URL,Power_Standardized,Area_Standardized
lumen-nashville-2,datacenters.com,Lumen: Nashville 2 Data Center,Lumen,2530 Perimeter Place Drive,Nashville,,TN,USA,30400 sqft total space,10032 sqft colocation space,,,,"HIPAA, ISO 27001, PCI DSS, SOC 1, SOC 2, SSAE 18",https://www.datacenters.com/lumen-nashville-2,,30400.0
lumen-austin-2-2,datacenters.com,Lumen: Austin 2 Data Center,Lumen,500 Chicon Street,Austin,,TX,USA,5000 sqft total space,986 sqft colocation space,,3kW - 15kW,Enterprise,"HIPAA, ISO 27001, PCI DSS, SOC 1, SOC 2, SSAE 18",https://www.datacenters.com/lumen-austin-2-2,0.018,5000.0
lumen-baton-rouge-2,datacenters.com,Lumen: Baton Rouge 2 Data Center,Lumen,9826 Burbank Dr,Baton Rouge,,LA,USA,5000 sqft total space,2000 sqft colocation space,,,,"HIPAA, ISO 27001, PCI DSS, SOC 1, SOC 2, SSAE 18",https://www.datacenters.com/lumen-baton-rouge-2,,5000.0
iron-mountain-va-1-northern-virginia,datacenters.com,Iron Mountain Data Centers: VA-1 - Northern Virginia Data Center,Iron Mountain,11680 Hayden Road,Manassas,,VA,USA,168000 sqft total space,168000 sqft,,12.0 MW,"Hyperscale, Enterprise","FedRAMP, FISMA, HIPAA, ISO 14001, ISO 22301, ISO 27001, ISO 50001, ISO 9001, ISO 9001:2015, NIST 800-53, PCI DSS, SOC 2 Type 2, SOC 3",https://www.datacenters.com/iron-mountain-va-1-northern-virginia,12.0,168000.0
databank-slc3-granite-point,datacenters.com,DataBank: SLC3 Granite Point Data Center,DataBank,14926 Pony Express Rd,Bluffdale,,UT,USA,85000 sqft,55780 sqft,,6.0 MW,,"HIPAA, HITECH, ISO 27001, PCI DSS, Privacy Shield, SOC 1, SOC 2, SSAE 18",https://www.datacenters.com/databank-slc3-granite-point,6.0,85000.0
databank-ord2-downtown-chicago-metro,datacenters.com,Not Available,DataBank,840 South Canal Street,Chicago,,IL,USA,14500 sqft total space,11470 sqft colocation space,,2.0 MW total power,,"HIPAA, HITECH, ISO 27001, PCI DSS, Privacy Shield, SOC 1, SOC 2, SSAE 18",https://www.datacenters.com/databank-ord2-downtown-chicago-metro,2.0,14500.0
h5-minneapolis,datacenters.com,H5 Data Centers: Minneapolis Data Center,,1125 Energy Park Drive,Saint Paul,,MN,USA,42000 sqft total space,17000 sqft colocation space,,,,"ISO 27001, PCI DSS, SOC 2 Type 2",https://www.datacenters.com/h5-minneapolis,,42000.0
digital-fortress-downtown-seattle-sea,datacenters.com,Digital Fortress: Downtown Seattle Data Center - (SEA),Digital Fortress,3101 Western Avenue,Seattle,,WA,USA,24000 sqft total space,24000 sqft,,3.0 MW,,"HIPAA, PCI DSS, SOC 1 Type 2, SOC 2 Type 2",https://www.datacenters.com/digital-fortress-downtown-seattle-sea,3.0,24000.0
cogent-communications-dtw02-fnsi-detroit,datacenters.com,Cogent Communications: DTW02 - FNSI - Detroit Data Center,Cogent Communications,3331 W Big Beaver Rd,Troy,,MI,USA,128526 sqft total space,5624 sqft colocation space,,,,,https://www.datacenters.com/cogent-communications-dtw02-fnsi-detroit,,128526.0
element-critical-northern-virginia-one,datacenters.com,Element Critical: Northern Virginia One Data Center,Element Critical,7990 Quantum Drive,Vienna,,VA,USA,200000 sqft,70000 sqft,2016,10.0 MW,Enterprise,"HIPAA, ISO 27001, PCI DSS, SOC 1, SOC 1 Type 1, SOC 1 Type 2, SOC 2 Type 1, SOC 2 Type 2, SSAE 16 Type 1, SSAE 16 Type 2",https://www.datacenters.com/element-critical-northern-virginia-one,10.0,200000.0
24shells-inc-ewr,datacenters.com,24Shells Inc: EWR Data Center,24Shells Inc,101 Possumtown Road,Piscataway,,NJ,USA,,,,,,"HIPAA, HITRUST CSF, ISO 27001, SOC 1 Type 2, SOC 2 Type 2",https://www.datacenters.com/24shells-inc-ewr,,
h5-st-louis,datacenters.com,H5 Data Centers: St. Louis Data Center,H5 Data Centers,710 N Tucker Blvd,St. Louis,,MO,USA,550000 sqft,36000 sqft,,,,"ISO 27001, PCI DSS, SOC 2 Type 2",https://www.datacenters.com/h5-st-louis,,550000.0
iron-mountain-kcm-1-kansas-city,datacenters.com,Iron Mountain Data Centers: KCM - 1 - Kansas City Data Center,Iron Mountain,6301 Winchester Avenue,Kansas City,,MO,USA,50000 sqft total space,50000 sqft,,3.0 MW total power,,"FedRAMP, FISMA, HIPAA, ISO 14001, ISO 22301, ISO 27001, ISO 50001, ISO 9001, ISO 9001:2015, NIST 800-53, PCI DSS, SOC 2 Type 2, SOC 3",https://www.datacenters.com/iron-mountain-kcm-1-kansas-city,3.0,50000.0
dartpoints-north-charleston,datacenters.com,DartPoints: North Charleston Data Center,,8480 Palmetto Commerce Pkwy,Ladson,29456,SC,USA,15000 sqft total space,5000 sqft colocation space,,,,SOC 2,https://www.datacenters.com/dartpoints-north-charleston,,15000.0
edgeconnex-sea01-seattle,datacenters.com,EdgeConnex: SEA01 Seattle Data Center,EdgeConnex,3425 South 116th Street building 6 suite 133,Seattle,98168,WA,USA,47000 sqft total space,47000 sqft,,4.0 MW total power,,"HIPAA, ISO 27001, PCI DSS, SOC 2 Type 2",https://www.datacenters.com/edgeconnex-sea01-seattle,4.0,47000.0
atlantic-net-asburn,datacenters.com,,,,,,,,,,,,,,https://www.datacenters.com/atlantic-net-asburn,,
