unique_key,source,name,provider,streetaddress,city,zipcode,state,country,whitespace,area,yearbuilt,power,scale,certifications,url,power_standardized,area_standardized,full_address,latitude,longitude
Virginia_Ashburn_https://www.datacentermap.com/usa/virginia/ashburn/aws-iad-44858-interconnection/,datacentermap,Amazon AWS IAD - 44858 Interconnection,Amazon AWS,44858 Interconnection Plz,Ashburn,20147,VA,USA,,,,,,,https://www.datacentermap.com/usa/virginia/ashburn/aws-iad-44858-interconnection/,,,"44858 Interconnection Plz, Ashburn, VA, 20147, USA",39.02635735,-77.4508703496484
Virginia_Ashburn_https://www.datacentermap.com/usa/virginia/ashburn/compass-loudoun-county-i-c/,datacentermap,Compass Loudoun County I - C,Compass Datacenters,42251 Thunderball Dr,Ashburn,20148,VA,USA,,,,,,,https://www.datacentermap.com/usa/virginia/ashburn/compass-loudoun-county-i-c/,,,"42251 Thunderball Dr, Ashburn, VA, 20148, USA",,
Virginia_Ashburn_https://www.datacentermap.com/usa/virginia/ashburn/microsoft-19515-compass-creek/,datacentermap,Microsoft - 19515 Compass Creek,Microsoft,19515 Compass Creek Pkwy,Ashburn,,VA,USA,,,,,,,https://www.datacentermap.com/usa/virginia/ashburn/microsoft-19515-compass-creek/,,,"19515 Compass Creek Pkwy, Ashburn, VA, None, USA",,
Virginia_Ashburn_https://www.datacentermap.com/usa/virginia/ashburn/amazon-aws-iad-20945-loudoun/,datacentermap,Amazon AWS IAD - 20945 Loudoun,Amazon AWS,20945 Loudoun County Pkwy,Ashburn,20147,VA,USA,,,,,,,https://www.datacentermap.com/usa/virginia/ashburn/amazon-aws-iad-20945-loudoun/,,,"20945 Loudoun County Pkwy, Ashburn, VA, 20147, USA",,
Virginia_Ashburn_https://www.datacentermap.com/usa/virginia/ashburn/microsoft-19525-compass-creek/,datacentermap,Microsoft - 19525 Compass Creek,Microsoft,19525 Compass Creek Pkwy,Ashburn,20175,VA,USA,,,,,,,https://www.datacentermap.com/usa/virginia/ashburn/microsoft-19525-compass-creek/,,,"19525 Compass Creek Pkwy, Ashburn, VA, 20175, USA",,
Virginia_Ashburn_https://www.datacentermap.com/usa/virginia/ashburn/cloudhq-lc3/,datacentermap,CloudHQ LC3,CloudHQ,"CloudHQ, within the Ashburn Data Center Valley, 20147 Ashburn",Ashburn,20147,VA,USA,"580,000 square feet","53,883 square meters",,96 MW,,,https://www.datacentermap.com/usa/virginia/ashburn/cloudhq-lc3/,96.0,580000.0,"CloudHQ, within the Ashburn Data Center Valley, 20147 Ashburn, Ashburn, VA, 20147, USA",,
Virginia_Ashburn_https://www.datacentermap.com/usa/virginia/ashburn/mcc1/,datacentermap,CloudHQ MCC1,CloudHQ,10880 Airman Ave,Ashburn,20112,VA,USA,"460,248 sq.f.",,,,,,https://www.datacentermap.com/usa/virginia/ashburn/mcc1/,,460248.0,"10880 Airman Ave, Ashburn, VA, 20112, USA",,
Virginia_Ashburn_https://www.datacentermap.com/usa/virginia/ashburn/ntt-ashburn-va6/,datacentermap,NTT Ashburn VA6,NTT Global Data Centers,44495 Gigabit Plaza,Ashburn,20147,VA,USA,,,,,,,https://www.datacentermap.com/usa/virginia/ashburn/ntt-ashburn-va6/,,,"44495 Gigabit Plaza, Ashburn, VA, 20147, USA",39.018336681386316,-77.47015068811973
Virginia_Ashburn_https://www.datacentermap.com/usa/virginia/ashburn/compass-loudoun-county-i-b/,datacentermap,Compass Loudoun County I - B,Compass Datacenters,42250 Thunderball Dr,Ashburn,20148,VA,USA,,,,,,,https://www.datacentermap.com/usa/virginia/ashburn/compass-loudoun-county-i-b/,,,"42250 Thunderball Dr, Ashburn, VA, 20148, USA",,
Virginia_Ashburn_https://www.datacentermap.com/usa/virginia/ashburn/windstream-ashburn/,datacentermap,Windstream Ashburn,Windstream,44200 Waxpool Rd,Ashburn,20147,VA,USA,,,,,,,https://www.datacentermap.com/usa/virginia/ashburn/windstream-ashburn/,,,"44200 Waxpool Rd, Ashburn, VA, 20147, USA",,
Virginia_Ashburn_https://www.datacentermap.com/usa/virginia/ashburn/compass-loudoun-county-i-e/,datacentermap,Compass Loudoun County I - E,Compass Datacenters,42590 Thunderball Dr,Ashburn,20148,VA,USA,,,,,,,https://www.datacentermap.com/usa/virginia/ashburn/compass-loudoun-county-i-e/,,,"42590 Thunderball Dr, Ashburn, VA, 20148, USA",,
Virginia_Ashburn_https://www.datacentermap.com/usa/virginia/ashburn/19886-ashburn-rd/,datacentermap,19886 Ashburn Rd,JK Land Holdings,19886 Ashburn Rd,Ashburn,20147,VA,USA,"360,000","190,000",,,,,https://www.datacentermap.com/usa/virginia/ashburn/19886-ashburn-rd/,,360000.0,"19886 Ashburn Rd, Ashburn, VA, 20147, USA",39.06657,-77.47893039836336
Virginia_Ashburn_https://www.datacentermap.com/usa/virginia/ashburn/tuscarora-crossing-bldg-3/,datacentermap,,,nan,nan,,Nan,nan,,,,,,,https://www.datacentermap.com/usa/virginia/ashburn/tuscarora-crossing-bldg-3/,,,None,44.933143,7.540121
Virginia_Ashburn_https://www.datacentermap.com/usa/virginia/ashburn/cyrusone-broadlands-building-1/,datacentermap,CyrusOne Broadlands - Building 1,CyrusOne Data Centers,Education Ct / Broadlands Blvd,Ashburn,20148,VA,USA,,,,,,,https://www.datacentermap.com/usa/virginia/ashburn/cyrusone-broadlands-building-1/,,,"Education Ct / Broadlands Blvd, Ashburn, VA, 20148, USA",,
Virginia_Ashburn_https://www.datacentermap.com/usa/virginia/ashburn/cloudhq-lc13/,datacentermap,CloudHQ LC13,CloudHQ,"CloudHQ, 20147 Ashburn",Ashburn,20147,VA,USA,"835,849 square feet","77,652 square meters",,108 MW,,,https://www.datacentermap.com/usa/virginia/ashburn/cloudhq-lc13/,108.0,,"CloudHQ, 20147 Ashburn, Ashburn, VA, 20147, USA",,
Virginia_Reston_https://www.datacentermap.com/usa/virginia/reston/1780-business-center/,datacentermap,1780 Business Center Drive (VA3),Digital Realty,1780 Business Center Drive,Reston,20190,VA,USA,"256,000 sq.f.","146,500 sq.f.",,13 MW,,"DSS PCI Certified, ISO27001 Certified, SOC 1 Type II Certified, SOC 2 Type II Certified, SOC 3 Type 2 Certified",https://www.datacentermap.com/usa/virginia/reston/1780-business-center/,13.0,256000.0,"1780 Business Center Drive, Reston, VA, 20190, USA",,
Virginia_Reston_https://www.datacentermap.com/usa/virginia/reston/coresite-va3/,datacentermap,CoreSite Reston (VA3),CoreSite,12369 Sunrise Valley Dr,Reston,,VA,USA,"940,000 sq.f.","940,000 sq.f.",,,,"DSS, PCI Compliant, ISO27001 Certified, HIPAA",https://www.datacentermap.com/usa/virginia/reston/coresite-va3/,,,"12369 Sunrise Valley Dr, Reston, VA, None, USA",,
Virginia_Reston_https://www.datacentermap.com/usa/virginia/reston/coresite-va1/,datacentermap,CoreSite Reston (VA1),CoreSite,12100 Sunrise Valley Drive,Reston,20190,VA,USA,"201,000 sq.f.","201,000 sq.f.",,,,"DSS, PCI Compliant, ISO27001 Certified, HIPAA",https://www.datacentermap.com/usa/virginia/reston/coresite-va1/,,201000.0,"12100 Sunrise Valley Drive, Reston, VA, 20190, USA",38.949067,-77.364672
Virginia_Reston_https://www.datacentermap.com/usa/virginia/reston/flex-dc-reston/,datacentermap,,,nan,nan,,Nan,nan,,,,,,,https://www.datacentermap.com/usa/virginia/reston/flex-dc-reston/,,,None,44.933143,7.540121
Virginia_Reston_https://www.datacentermap.com/usa/virginia/reston/dc1-evocative-data-center/,datacentermap,Evocative IAD1,Evocative Data Centers,1807 Michael Faraday Court,Reston,20190,VA,USA,,,,,,"HIPAA, PCI DSS, SSAE16, SOC2, ISAE3402",https://www.datacentermap.com/usa/virginia/reston/dc1-evocative-data-center/,,,"1807 Michael Faraday Court, Reston, VA, 20190, USA",38.948816550000004,-77.32940527282275
Virginia_Richmond_https://www.datacentermap.com/usa/virginia/richmond/flexential-richmond/,datacentermap,Flexential Richmond Data Center,Flexential,8801 Park Central Drive,Richmond,23227,VA,USA,"28,594 sq.f.",,,2.8 MW,,"ISO27001 Certified, SOC 1 Type II Certified, SOC 2 Type II Certified, SOC 3 Type 2 Certified, NIST 800-53 Certified",https://www.datacentermap.com/usa/virginia/richmond/flexential-richmond/,2.8,28594.0,"8801 Park Central Drive, Richmond, VA, 23227, USA",,
Virginia_Richmond_https://www.datacentermap.com/usa/virginia/richmond/edgeconnex-edcric01/,datacentermap,EdgeConneX Richmond - EDCRIC01,EdgeConneX,1450 E Parham Rd,Richmond,23228,VA,USA,"16,279 sq.f.","6,797 sq.f.",,0.5 MW,,"Tier 3, DSS, PCI Compliant, ISO27001 Certified, HIPAA, SOC 2 Type II Certified",https://www.datacentermap.com/usa/virginia/richmond/edgeconnex-edcric01/,0.5,16279.0,"1450 E Parham Rd, Richmond, VA, 23228, USA",,
