unique_key,source,name,provider,streetaddress,city,zipcode,state,country,whitespace,area,yearbuilt,power,scale,certifications,url,power_standardized,area_standardized,full_address,latitude,longitude
hurricane-electric-fremont-2,datacenters.com,Hurricane Electric: Fremont 2 Data Center,Hurricane Electric,48233 Warm Springs Boulevard,Fremont,,CA,USA,208000 sqft total space,208000 sqft,,,,,https://www.datacenters.com/hurricane-electric-fremont-2,,208000.0,"48233 Warm Springs Boulevard, Fremont, CA, None, USA",,
china-telecom-telehouse-chelsea,datacenters.com,,,nan,nan,,Nan,nan,,,,,,,https://www.datacenters.com/china-telecom-telehouse-chelsea,,,None,44.933143,7.540121
lunavi-bellingham,datacenters.com,Lunavi: Bellingham Data Center,Lunavi,851 Coho Way,Bellingham,,WA,USA,,,,,Enterprise,"HIPAA, PCI DSS, SOC 1 Type 2, SOC 2 Type 2",https://www.datacenters.com/lunavi-bellingham,,,"851 Coho Way, Bellingham, WA, None, USA",,
centerserv-winston-salem,datacenters.com,CenterServ: Winston-Salem Data Center,CenterServ,615 St George Square Ct,Winston-Salem,,NC,USA,,,,,,,https://www.datacenters.com/centerserv-winston-salem,,,"615 St George Square Ct, Winston-Salem, NC, None, USA",,
leaseweb-san-francisco-sfo-12,datacenters.com,,,nan,nan,,Nan,nan,,,,,,,https://www.datacenters.com/leaseweb-san-francisco-sfo-12,,,None,44.933143,7.540121
iron-mountain-va-5-northern-virginia,datacenters.com,,,nan,nan,,Nan,nan,,,,,,,https://www.datacenters.com/iron-mountain-va-5-northern-virginia,,,None,44.933143,7.540121
hivelocity-725-s-wells-st,datacenters.com,Hivelocity: 725 S. Wells St. Data Center,Hivelocity,725 South Wells Street,Chicago,,IL,USA,,6000 sqft,,,,SOC 2,https://www.datacenters.com/hivelocity-725-s-wells-st,,6000.0,"725 South Wells Street, Chicago, IL, None, USA",,
11-11-systems-reston,datacenters.com,11:11 Systems: Reston Data Center,11:11 Systems,12100 Sunrise Valley Drive,Reston,20191,VA,USA,,,,,,PCI DSS,https://www.datacenters.com/11-11-systems-reston,,,"12100 Sunrise Valley Drive, Reston, VA, 20191, USA",38.949067,-77.364672
chirisa-technology-parks-ylo-01-ylo-01chicago-campus-il,datacenters.com,"Chirisa Technology Parks: YLO-01 YLO-01Chicago Campus, IL",Chirisa Technology Parks,300 South Fish Lake Road,Volo,,IL,USA,160000 sqft,160000 sqft,,14.0 MW,Hyperscale,"ISO 27001, ISO 9001",https://www.datacenters.com/chirisa-technology-parks-ylo-01-ylo-01chicago-campus-il,14.0,160000.0,"300 South Fish Lake Road, Volo, IL, None, USA",,
amazon-aws-2540-2580-beech-south,datacenters.com,Amazon AWS: 2540-2580 Beech South,Amazon AWS,2580 Beech Road Northwest,Johnstown,43031,OH,USA,,,,,,,https://www.datacenters.com/amazon-aws-2540-2580-beech-south,,,"2580 Beech Road Northwest, Johnstown, OH, 43031, USA",,
amazon-aws-2570-beech-rd,datacenters.com,Amazon AWS: 2570 Beech Rd,Amazon AWS,2570 Beech Rd NW,Johnstown,43031,OH,USA,,,,,,,https://www.datacenters.com/amazon-aws-2570-beech-rd,,,"2570 Beech Rd NW, Johnstown, OH, 43031, USA",,
